Sample,K,Runtime(s)
Patient06_Karol-E_NG,16,0.2636
Patient06_Karol-E_NG,17,0.2336
Patient06_Karol-E_NG,18,0.2185
Patient06_Karol-E_NG,19,0.2186
Patient06_Karol-E_NG,20,0.2230
Patient07_SIGAD4_NG,3,0.2298
Patient07_SIGAD4_NG,4,0.2289
Patient07_SIGAD4_NG,5,0.2321
Patient07_SIGAD4_NG,6,0.2311
Patient07_SIGAD4_NG,7,0.2283
Patient07_SIGAD4_NG,8,0.2329
Patient07_SIGAD4_NG,9,0.2359
Patient07_SIGAD4_NG,10,0.2438
Patient07_SIGAD4_NG,11,0.2294
Patient07_SIGAD4_NG,12,0.2528
Patient07_SIGAD4_NG,13,0.2301
Patient07_SIGAD4_NG,14,0.2321
Patient07_SIGAD4_NG,15,0.2295
Patient07_SIGAD4_NG,16,0.2315
Patient07_SIGAD4_NG,17,0.2300
Patient07_SIGAD4_NG,18,0.2330
Patient07_SIGAD4_NG,19,0.2277
Patient07_SIGAD4_NG,20,0.2329
Patient22_SIGAF9_CIM,3,0.2452
Patient22_SIGAF9_CIM,4,0.2459
Patient22_SIGAF9_CIM,5,0.2429
Patient22_SIGAF9_CIM,6,0.2432
Patient22_SIGAF9_CIM,7,0.2452
Patient22_SIGAF9_CIM,8,0.2552
Patient22_SIGAF9_CIM,9,0.2547
Patient22_SIGAF9_CIM,10,0.2592
Patient22_SIGAF9_CIM,11,0.2609
Patient22_SIGAF9_CIM,12,0.2598
Patient22_SIGAF9_CIM,13,0.2447
Patient22_SIGAF9_CIM,14,0.2667
Patient22_SIGAF9_CIM,15,0.2704
Patient22_SIGAF9_CIM,16,0.2668
Patient22_SIGAF9_CIM,17,0.2903
Patient22_SIGAF9_CIM,18,0.2880
Patient22_SIGAF9_CIM,19,0.2924
Patient22_SIGAF9_CIM,20,0.2852
P5866_normal_rep1,3,0.2579
P5866_normal_rep1,4,0.2825
P5866_normal_rep1,5,0.2757
P5866_normal_rep1,6,0.2671
P5866_normal_rep1,7,0.2353
P5866_normal_rep1,8,0.2187
P5866_normal_rep1,9,0.2194
P5866_normal_rep1,10,0.2519
P5866_normal_rep1,11,0.2172
P5866_normal_rep1,12,0.2194
P5866_normal_rep1,13,0.2230
P5866_normal_rep1,14,0.2193
P5866_normal_rep1,15,0.2202
P5866_normal_rep1,16,0.2185
P5866_normal_rep1,17,0.2178
P5866_normal_rep1,18,0.2227
P5866_normal_rep1,19,0.2640
P5866_normal_rep1,20,0.2400
Patient03_SIGAB5_BSCJ,3,0.2380
Patient03_SIGAB5_BSCJ,4,0.2530
Patient03_SIGAB5_BSCJ,5,0.2345
Patient03_SIGAB5_BSCJ,6,0.2418
Patient03_SIGAB5_BSCJ,7,0.2442
Patient03_SIGAB5_BSCJ,8,0.2304
Patient03_SIGAB5_BSCJ,9,0.2297
Patient03_SIGAB5_BSCJ,10,0.2365
Patient03_SIGAB5_BSCJ,11,0.2307
Patient03_SIGAB5_BSCJ,12,0.2350
Patient03_SIGAB5_BSCJ,13,0.2363
Patient03_SIGAB5_BSCJ,14,0.2303
Patient03_SIGAB5_BSCJ,15,0.2315
Patient03_SIGAB5_BSCJ,16,0.2414
Patient03_SIGAB5_BSCJ,17,0.2456
Patient03_SIGAB5_BSCJ,18,0.2401
Patient03_SIGAB5_BSCJ,19,0.2471
Patient03_SIGAB5_BSCJ,20,0.2425
SRR8513799,3,0.2304
SRR8513799,4,0.2285
SRR8513799,5,0.2359
SRR8513799,6,0.2713
SRR8513799,7,0.2525
SRR8513799,8,0.2323
SRR8513799,9,0.2390
SRR8513799,10,0.2428
SRR8513799,11,0.2546
SRR8513799,12,0.2534
SRR8513799,13,0.2739
SRR8513799,14,0.2371
SRR8513799,15,0.2319
SRR8513799,16,0.2376
SRR8513799,17,0.2426
SRR8513799,18,0.2444
SRR8513799,19,0.2481
SRR8513799,20,0.2414
Patient09_SIGAG9_NG,3,0.2287
Patient09_SIGAG9_NG,4,0.2169
Patient09_SIGAG9_NG,5,0.2175
Patient09_SIGAG9_NG,6,0.2222
Patient09_SIGAG9_NG,7,0.2183
Patient09_SIGAG9_NG,8,0.2175
Patient09_SIGAG9_NG,9,0.2224
Patient09_SIGAG9_NG,10,0.2226
Patient09_SIGAG9_NG,11,0.2178
Patient09_SIGAG9_NG,12,0.2230
Patient09_SIGAG9_NG,13,0.2238
Patient09_SIGAG9_NG,14,0.2529
Patient09_SIGAG9_NG,15,0.2618
Patient09_SIGAG9_NG,16,0.2433
Patient09_SIGAG9_NG,17,0.2678
Patient09_SIGAG9_NG,18,0.2244
Patient09_SIGAG9_NG,19,0.2206
Patient09_SIGAG9_NG,20,0.2564
P5931_normal_rep2,3,0.2756
P5931_normal_rep2,4,0.2591
P5931_normal_rep2,5,0.2662
P5931_normal_rep2,6,0.2870
P5931_normal_rep2,7,0.2210
P5931_normal_rep2,8,0.2315
P5931_normal_rep2,9,0.2566
P5931_normal_rep2,10,0.2287
P5931_normal_rep2,11,0.2183
P5931_normal_rep2,12,0.2200
P5931_normal_rep2,13,0.2497
P5931_normal_rep2,14,0.2493
P5931_normal_rep2,15,0.2204
P5931_normal_rep2,16,0.2218
P5931_normal_rep2,17,0.2447
P5931_normal_rep2,18,0.2303
P5931_normal_rep2,19,0.2199
P5931_normal_rep2,20,0.2527
Patient08_SIGAG7_ND,3,0.2529
Patient08_SIGAG7_ND,4,0.2454
Patient08_SIGAG7_ND,5,0.2368
Patient08_SIGAG7_ND,6,0.2313
Patient08_SIGAG7_ND,7,0.2446
Patient08_SIGAG7_ND,8,0.2675
Patient08_SIGAG7_ND,9,0.2447
Patient08_SIGAG7_ND,10,0.2541
Patient08_SIGAG7_ND,11,0.2521
Patient08_SIGAG7_ND,12,0.2306
Patient08_SIGAG7_ND,13,0.2317
Patient08_SIGAG7_ND,14,0.2349
Patient08_SIGAG7_ND,15,0.2319
Patient08_SIGAG7_ND,16,0.2706
Patient08_SIGAG7_ND,17,0.2461
Patient08_SIGAG7_ND,18,0.2635
Patient08_SIGAG7_ND,19,0.2470
Patient08_SIGAG7_ND,20,0.2627
Patient07_SIGAE4_ND,3,0.2775
Patient07_SIGAE4_ND,4,0.2493
Patient07_SIGAE4_ND,5,0.2435
Patient07_SIGAE4_ND,6,0.2424
Patient07_SIGAE4_ND,7,0.2428
Patient07_SIGAE4_ND,8,0.2284
Patient07_SIGAE4_ND,9,0.2364
Patient07_SIGAE4_ND,10,0.2339
Patient07_SIGAE4_ND,11,0.2237
Patient07_SIGAE4_ND,12,0.2224
Patient07_SIGAE4_ND,13,0.2247
Patient07_SIGAE4_ND,14,0.2219
Patient07_SIGAE4_ND,15,0.2252
Patient07_SIGAE4_ND,16,0.2232
Patient07_SIGAE4_ND,17,0.2217
Patient07_SIGAE4_ND,18,0.2280
Patient07_SIGAE4_ND,19,0.2478
Patient07_SIGAE4_ND,20,0.2670
P6649_normal,3,0.2226
P6649_normal,4,0.2224
P6649_normal,5,0.2185
P6649_normal,6,0.2245
P6649_normal,7,0.2227
P6649_normal,8,0.2559
P6649_normal,9,0.2435
P6649_normal,10,0.2414
P6649_normal,11,0.2662
P6649_normal,12,0.2269
P6649_normal,13,0.2834
P6649_normal,14,0.2567
P6649_normal,15,0.2317
P6649_normal,16,0.2371
P6649_normal,17,0.2576
P6649_normal,18,0.2274
P6649_normal,19,0.2476
P6649_normal,20,0.2376
GSM3954946,3,0.6879
GSM3954946,4,0.6709
GSM3954946,5,0.7012
GSM3954946,6,0.6940
GSM3954946,7,0.6936
GSM3954946,8,0.7105
GSM3954946,9,0.7268
GSM3954946,10,0.7207
GSM3954946,11,0.7306
GSM3954946,12,0.7312
GSM3954946,13,0.7301
GSM3954946,14,0.7418
GSM3954946,15,0.7280
GSM3954946,16,0.7412
GSM3954946,17,0.7275
GSM3954946,18,0.7440
GSM3954946,19,0.7266
GSM3954946,20,0.7343
Patient07_SIGAB4_BSCJ,3,0.2858
Patient07_SIGAB4_BSCJ,4,0.2365
Patient07_SIGAB4_BSCJ,5,0.2296
Patient07_SIGAB4_BSCJ,6,0.2436
Patient07_SIGAB4_BSCJ,7,0.2636
Patient07_SIGAB4_BSCJ,8,0.2644
Patient07_SIGAB4_BSCJ,9,0.2201
Patient07_SIGAB4_BSCJ,10,0.2208
