Sample,K,Runtime(s)
Patient08_SIGAF7_NG,20,0.2218
Patient03_SIGAD5_NG,3,0.2316
Patient03_SIGAD5_NG,4,0.2361
Patient03_SIGAD5_NG,5,0.2356
Patient03_SIGAD5_NG,6,0.2362
Patient03_SIGAD5_NG,7,0.2295
Patient03_SIGAD5_NG,8,0.2223
Patient03_SIGAD5_NG,9,0.2280
Patient03_SIGAD5_NG,10,0.2328
Patient03_SIGAD5_NG,11,0.2259
Patient03_SIGAD5_NG,12,0.2311
Patient03_SIGAD5_NG,13,0.2267
Patient03_SIGAD5_NG,14,0.2221
Patient03_SIGAD5_NG,15,0.2260
Patient03_SIGAD5_NG,16,0.2217
Patient03_SIGAD5_NG,17,0.2237
Patient03_SIGAD5_NG,18,0.2265
Patient03_SIGAD5_NG,19,0.2313
Patient03_SIGAD5_NG,20,0.2257
Patient21_SIGAA1_GIM,3,0.2262
Patient21_SIGAA1_GIM,4,0.2264
Patient21_SIGAA1_GIM,5,0.2478
Patient21_SIGAA1_GIM,6,0.2295
Patient21_SIGAA1_GIM,7,0.2307
Patient21_SIGAA1_GIM,8,0.2307
Patient21_SIGAA1_GIM,9,0.2327
Patient21_SIGAA1_GIM,10,0.2379
Patient21_SIGAA1_GIM,11,0.2356
Patient21_SIGAA1_GIM,12,0.2342
Patient21_SIGAA1_GIM,13,0.2491
Patient21_SIGAA1_GIM,14,0.2491
Patient21_SIGAA1_GIM,15,0.2289
Patient21_SIGAA1_GIM,16,0.2273
Patient21_SIGAA1_GIM,17,0.2297
Patient21_SIGAA1_GIM,18,0.2297
Patient21_SIGAA1_GIM,19,0.2343
Patient21_SIGAA1_GIM,20,0.2632
GSM3954956,3,0.3216
GSM3954956,4,0.3198
GSM3954956,5,0.3320
GSM3954956,6,0.3325
GSM3954956,7,0.3379
GSM3954956,8,0.3488
GSM3954956,9,0.3466
GSM3954956,10,0.3483
GSM3954956,11,0.3489
GSM3954956,12,0.3442
GSM3954956,13,0.3485
GSM3954956,14,0.3549
GSM3954956,15,0.3536
GSM3954956,16,0.3452
GSM3954956,17,0.4071
GSM3954956,18,0.3985
GSM3954956,19,0.4241
GSM3954956,20,0.4324
P6592_normal,3,0.2284
P6592_normal,4,0.2268
P6592_normal,5,0.2276
P6592_normal,6,0.2286
P6592_normal,7,0.2285
P6592_normal,8,0.2749
P6592_normal,9,0.2553
P6592_normal,10,0.2394
P6592_normal,11,0.2491
P6592_normal,12,0.2332
P6592_normal,13,0.2576
P6592_normal,14,0.2585
P6592_normal,15,0.2387
P6592_normal,16,0.2322
P6592_normal,17,0.2338
P6592_normal,18,0.2345
P6592_normal,19,0.2328
P6592_normal,20,0.2369
GSM3954947,3,0.2957
GSM3954947,4,0.3119
GSM3954947,5,0.3179
GSM3954947,6,0.3215
GSM3954947,7,0.3291
GSM3954947,8,0.3282
GSM3954947,9,0.3383
GSM3954947,10,0.3479
GSM3954947,11,0.3407
GSM3954947,12,0.3415
GSM3954947,13,0.3338
GSM3954947,14,0.3518
GSM3954947,15,0.3498
GSM3954947,16,0.3523
GSM3954947,17,0.3826
GSM3954947,18,0.3996
GSM3954947,19,0.4272
GSM3954947,20,0.4221
Patient15_SIGAG11_NSCJ,3,0.2470
Patient15_SIGAG11_NSCJ,4,0.2486
Patient15_SIGAG11_NSCJ,5,0.2500
Patient15_SIGAG11_NSCJ,6,0.2443
Patient15_SIGAG11_NSCJ,7,0.2530
Patient15_SIGAG11_NSCJ,8,0.2550
Patient15_SIGAG11_NSCJ,9,0.2608
Patient15_SIGAG11_NSCJ,10,0.2506
Patient15_SIGAG11_NSCJ,11,0.2874
Patient15_SIGAG11_NSCJ,12,0.2585
Patient15_SIGAG11_NSCJ,13,0.2675
Patient15_SIGAG11_NSCJ,14,0.2743
Patient15_SIGAG11_NSCJ,15,0.2804
Patient15_SIGAG11_NSCJ,16,0.2267
Patient15_SIGAG11_NSCJ,17,0.2398
Patient15_SIGAG11_NSCJ,18,0.2366
Patient15_SIGAG11_NSCJ,19,0.2361
Patient15_SIGAG11_NSCJ,20,0.2289
Patient05_SIGAG11_NSCJ,3,0.2308
Patient05_SIGAG11_NSCJ,4,0.2260
Patient05_SIGAG11_NSCJ,5,0.2539
Patient05_SIGAG11_NSCJ,6,0.2291
Patient05_SIGAG11_NSCJ,7,0.2371
Patient05_SIGAG11_NSCJ,8,0.2500
Patient05_SIGAG11_NSCJ,9,0.2409
Patient05_SIGAG11_NSCJ,10,0.2536
Patient05_SIGAG11_NSCJ,11,0.2451
Patient05_SIGAG11_NSCJ,12,0.2483
Patient05_SIGAG11_NSCJ,13,0.2410
Patient05_SIGAG11_NSCJ,14,0.2401
Patient05_SIGAG11_NSCJ,15,0.2394
Patient05_SIGAG11_NSCJ,16,0.2425
Patient05_SIGAG11_NSCJ,17,0.2595
Patient05_SIGAG11_NSCJ,18,0.2618
Patient05_SIGAG11_NSCJ,19,0.2618
Patient05_SIGAG11_NSCJ,20,0.2617
GSM3954951,3,1.9294
GSM3954951,4,1.9662
GSM3954951,5,1.9652
GSM3954951,6,1.9799
GSM3954951,7,2.0179
GSM3954951,8,2.0136
GSM3954951,9,2.0316
GSM3954951,10,2.0122
GSM3954951,11,2.0201
GSM3954951,12,1.9993
GSM3954951,13,2.0097
GSM3954951,14,2.0089
GSM3954951,15,2.0208
GSM3954951,16,2.0167
GSM3954951,17,1.9883
GSM3954951,18,2.0030
GSM3954951,19,1.9997
GSM3954951,20,1.9971
Patient03_SIGAC5_BE,3,0.2406
Patient03_SIGAC5_BE,4,0.2442
Patient03_SIGAC5_BE,5,0.2392
Patient03_SIGAC5_BE,6,0.2342
Patient03_SIGAC5_BE,7,0.2386
Patient03_SIGAC5_BE,8,0.2524
Patient03_SIGAC5_BE,9,0.2340
Patient03_SIGAC5_BE,10,0.2359
Patient03_SIGAC5_BE,11,0.2746
Patient03_SIGAC5_BE,12,0.2687
Patient03_SIGAC5_BE,13,0.2423
Patient03_SIGAC5_BE,14,0.2449
Patient03_SIGAC5_BE,15,0.2355
Patient03_SIGAC5_BE,16,0.2395
Patient03_SIGAC5_BE,17,0.2731
Patient03_SIGAC5_BE,18,0.2494
Patient03_SIGAC5_BE,19,0.2418
Patient03_SIGAC5_BE,20,0.2424
GSM3954954,3,0.5224
GSM3954954,4,0.5106
GSM3954954,5,0.5334
GSM3954954,6,0.5292
GSM3954954,7,0.5380
GSM3954954,8,0.5317
GSM3954954,9,0.5439
GSM3954954,10,0.5502
GSM3954954,11,0.5518
GSM3954954,12,0.5688
GSM3954954,13,0.5522
GSM3954954,14,0.5645
GSM3954954,15,0.5644
GSM3954954,16,0.5705
GSM3954954,17,0.6342
GSM3954954,18,0.6369
GSM3954954,19,0.6465
GSM3954954,20,0.5665
GSM3954953,3,0.2536
GSM3954953,4,0.2545
GSM3954953,5,0.2736
GSM3954953,6,0.2812
GSM3954953,7,0.2763
GSM3954953,8,0.2737
GSM3954953,9,0.2854
GSM3954953,10,0.2723
GSM3954953,11,0.2706
GSM3954953,12,0.2776
GSM3954953,13,0.2866
GSM3954953,14,0.3013
GSM3954953,15,0.3036
GSM3954953,16,0.2968
GSM3954953,17,0.2980
GSM3954953,18,0.3178
GSM3954953,19,0.3167
GSM3954953,20,0.3220
Patient02_SIGAE9_NG,3,0.2849
Patient02_SIGAE9_NG,4,0.2656
Patient02_SIGAE9_NG,5,0.2843
Patient02_SIGAE9_NG,6,0.2707
Patient02_SIGAE9_NG,7,0.2853
Patient02_SIGAE9_NG,8,0.2942
Patient02_SIGAE9_NG,9,0.2838
Patient02_SIGAE9_NG,10,0.2856
Patient02_SIGAE9_NG,11,0.2982
Patient02_SIGAE9_NG,12,0.3062
Patient02_SIGAE9_NG,13,0.3037
Patient02_SIGAE9_NG,14,0.3008
Patient02_SIGAE9_NG,15,0.3022
Patient02_SIGAE9_NG,16,0.3028
Patient02_SIGAE9_NG,17,0.3121
Patient02_SIGAE9_NG,18,0.3238
Patient02_SIGAE9_NG,19,0.3239
Patient02_SIGAE9_NG,20,0.3165
P5866_normal_rep2,3,0.2996
P5866_normal_rep2,4,0.2897
P5866_normal_rep2,5,0.2317
P5866_normal_rep2,6,0.2281
P5866_normal_rep2,7,0.2405
P5866_normal_rep2,8,0.2209
P5866_normal_rep2,9,0.2249
P5866_normal_rep2,10,0.2345
P5866_normal_rep2,11,0.2302
P5866_normal_rep2,12,0.2227
P5866_normal_rep2,13,0.2234
P5866_normal_rep2,14,0.2237
P5866_normal_rep2,15,0.2403
P5866_normal_rep2,16,0.2266
P5866_normal_rep2,17,0.2637
P5866_normal_rep2,18,0.2502
P5866_normal_rep2,19,0.2384
P5866_normal_rep2,20,0.2411
Patient12_SIGAE3_ND,3,0.2997
Patient12_SIGAE3_ND,4,0.3032
Patient12_SIGAE3_ND,5,0.2991
Patient12_SIGAE3_ND,6,0.3055
Patient12_SIGAE3_ND,7,0.3087
Patient12_SIGAE3_ND,8,0.3058
Patient12_SIGAE3_ND,9,0.3181
Patient12_SIGAE3_ND,10,0.3095
Patient12_SIGAE3_ND,11,0.3138
Patient12_SIGAE3_ND,12,0.3202
Patient12_SIGAE3_ND,13,0.3237
Patient12_SIGAE3_ND,14,0.3259
Patient12_SIGAE3_ND,15,0.3162
Patient12_SIGAE3_ND,16,0.3168
Patient12_SIGAE3_ND,17,0.3437
Patient12_SIGAE3_ND,18,0.3498
Patient12_SIGAE3_ND,19,0.3397
Patient12_SIGAE3_ND,20,0.3560
Patient15_SIGAH11_NG,3,0.2312
Patient15_SIGAH11_NG,4,0.2205
Patient15_SIGAH11_NG,5,0.2176
Patient15_SIGAH11_NG,6,0.2183
Patient15_SIGAH11_NG,7,0.2233
Patient15_SIGAH11_NG,8,0.2327
Patient15_SIGAH11_NG,9,0.2342
Patient15_SIGAH11_NG,10,0.2206
Patient15_SIGAH11_NG,11,0.2241
Patient15_SIGAH11_NG,12,0.2225
Patient15_SIGAH11_NG,13,0.2211
Patient15_SIGAH11_NG,14,0.2205
Patient15_SIGAH11_NG,15,0.2412
Patient15_SIGAH11_NG,16,0.2231
Patient15_SIGAH11_NG,17,0.2215
Patient15_SIGAH11_NG,18,0.2186
Patient15_SIGAH11_NG,19,0.2226
Patient15_SIGAH11_NG,20,0.2183
SRR8513798,3,0.6015
SRR8513798,4,0.5974
SRR8513798,5,0.6239
SRR8513798,6,0.6322
SRR8513798,7,0.6338
SRR8513798,8,0.6367
SRR8513798,9,0.6388
SRR8513798,10,0.6347
SRR8513798,11,0.6448
SRR8513798,12,0.6470
SRR8513798,13,0.6544
SRR8513798,14,0.6429
SRR8513798,15,0.6582
SRR8513798,16,0.6592
SRR8513798,17,0.6629
SRR8513798,18,0.6657
SRR8513798,19,0.6675
SRR8513798,20,0.6681
Patient13_SIGAE8_NG,3,0.2556
Patient13_SIGAE8_NG,4,0.2364
Patient13_SIGAE8_NG,5,0.2391
Patient13_SIGAE8_NG,6,0.2428
Patient13_SIGAE8_NG,7,0.2446
Patient13_SIGAE8_NG,8,0.2455
Patient13_SIGAE8_NG,9,0.2675
Patient13_SIGAE8_NG,10,0.2771
Patient13_SIGAE8_NG,11,0.2721
Patient13_SIGAE8_NG,12,0.2708
Patient13_SIGAE8_NG,13,0.2828
Patient13_SIGAE8_NG,14,0.2865
Patient13_SIGAE8_NG,15,0.2896
Patient13_SIGAE8_NG,16,0.2672
Patient13_SIGAE8_NG,17,0.2710
Patient13_SIGAE8_NG,18,0.2899
Patient13_SIGAE8_NG,19,0.2790
Patient13_SIGAE8_NG,20,0.2651
Patient06_Karol-C_NSCJ,3,0.2587
Patient06_Karol-C_NSCJ,4,0.2574
Patient06_Karol-C_NSCJ,5,0.2634
Patient06_Karol-C_NSCJ,6,0.2712
Patient06_Karol-C_NSCJ,7,0.2813
Patient06_Karol-C_NSCJ,8,0.2635
Patient06_Karol-C_NSCJ,9,0.2227
Patient06_Karol-C_NSCJ,10,0.2419
Patient06_Karol-C_NSCJ,11,0.2228
Patient06_Karol-C_NSCJ,12,0.2203
Patient06_Karol-C_NSCJ,13,0.2188
Patient06_Karol-C_NSCJ,14,0.2297
Patient06_Karol-C_NSCJ,15,0.2191
Patient06_Karol-C_NSCJ,16,0.2276
Patient06_Karol-C_NSCJ,17,0.2208
Patient06_Karol-C_NSCJ,18,0.2213
Patient06_Karol-C_NSCJ,19,0.2243
Patient06_Karol-C_NSCJ,20,0.2228
GSM3954955,3,0.6289
GSM3954955,4,0.6339
GSM3954955,5,0.6566
GSM3954955,6,0.6629
GSM3954955,7,0.6378
GSM3954955,8,0.6457
GSM3954955,9,0.6716
GSM3954955,10,0.6616
GSM3954955,11,0.6612
GSM3954955,12,0.6766
GSM3954955,13,0.6822
GSM3954955,14,0.6642
GSM3954955,15,0.6768
GSM3954955,16,0.6801
GSM3954955,17,0.6863
GSM3954955,18,0.6898
GSM3954955,19,0.6913
GSM3954955,20,0.6953
P6207_normal,3,0.2485
P6207_normal,4,0.2419
P6207_normal,5,0.2236
P6207_normal,6,0.2190
P6207_normal,7,0.2225
P6207_normal,8,0.2216
P6207_normal,9,0.2189
P6207_normal,10,0.2185
P6207_normal,11,0.2231
P6207_normal,12,0.2202
P6207_normal,13,0.2220
P6207_normal,14,0.2226
P6207_normal,15,0.2189
P6207_normal,16,0.2239
P6207_normal,17,0.2763
P6207_normal,18,0.2248
P6207_normal,19,0.2256
P6207_normal,20,0.2275
SRR8513796,3,0.2945
SRR8513796,4,0.2833
SRR8513796,5,0.2840
SRR8513796,6,0.2955
SRR8513796,7,0.3028
SRR8513796,8,0.2961
SRR8513796,9,0.3034
SRR8513796,10,0.3104
SRR8513796,11,0.3067
SRR8513796,12,0.3212
SRR8513796,13,0.3173
SRR8513796,14,0.3180
SRR8513796,15,0.3208
SRR8513796,16,0.3218
SRR8513796,17,0.3370
SRR8513796,18,0.3455
SRR8513796,19,0.3440
SRR8513796,20,0.3534
GSM3954950,3,2.2744
GSM3954950,4,2.2700
GSM3954950,5,2.2730
GSM3954950,6,2.2676
GSM3954950,7,2.2355
GSM3954950,8,2.3016
GSM3954950,9,2.3021
GSM3954950,10,2.3040
GSM3954950,11,2.3050
GSM3954950,12,2.3198
GSM3954950,13,2.3240
GSM3954950,14,2.3279
GSM3954950,15,2.3302
GSM3954950,16,2.3356
GSM3954950,17,2.3449
GSM3954950,18,2.3576
GSM3954950,19,2.3542
GSM3954950,20,2.3418
SRR8513797,3,0.8298
SRR8513797,4,0.8326
SRR8513797,5,0.8118
SRR8513797,6,0.8411
SRR8513797,7,0.8437
SRR8513797,8,0.8387
SRR8513797,9,0.8311
SRR8513797,10,0.8547
SRR8513797,11,0.8523
SRR8513797,12,0.8564
SRR8513797,13,0.8641
SRR8513797,14,0.8602
SRR8513797,15,0.8607
SRR8513797,16,0.8720
SRR8513797,17,0.8634
SRR8513797,18,0.8610
SRR8513797,19,0.8596
SRR8513797,20,0.8557
Patient08_SIGAE7_NSCJ,3,0.2783
Patient08_SIGAE7_NSCJ,4,0.2751
Patient08_SIGAE7_NSCJ,5,0.2196
Patient08_SIGAE7_NSCJ,6,0.2220
Patient08_SIGAE7_NSCJ,7,0.2184
Patient08_SIGAE7_NSCJ,8,0.2178
Patient08_SIGAE7_NSCJ,9,0.2208
Patient08_SIGAE7_NSCJ,10,0.2233
Patient08_SIGAE7_NSCJ,11,0.2645
Patient08_SIGAE7_NSCJ,12,0.2326
Patient08_SIGAE7_NSCJ,13,0.2367
Patient08_SIGAE7_NSCJ,14,0.2374
Patient08_SIGAE7_NSCJ,15,0.2285
Patient08_SIGAE7_NSCJ,16,0.2184
Patient08_SIGAE7_NSCJ,17,0.2203
Patient08_SIGAE7_NSCJ,18,0.2204
Patient08_SIGAE7_NSCJ,19,0.2265
Patient08_SIGAE7_NSCJ,20,0.2202
GSM3954949,3,1.0383
GSM3954949,4,1.0621
GSM3954949,5,1.0545
GSM3954949,6,1.0659
GSM3954949,7,1.0608
GSM3954949,8,1.0507
GSM3954949,9,1.0744
GSM3954949,10,1.0843
GSM3954949,11,1.0870
GSM3954949,12,1.0903
GSM3954949,13,1.0868
GSM3954949,14,1.0979
GSM3954949,15,1.0906
GSM3954949,16,1.1054
GSM3954949,17,1.1140
GSM3954949,18,1.1154
GSM3954949,19,1.1097
GSM3954949,20,1.1175
Patient09_SIGAH9_ND,3,0.2333
Patient09_SIGAH9_ND,4,0.2308
Patient09_SIGAH9_ND,5,0.2220
Patient09_SIGAH9_ND,6,0.2224
Patient09_SIGAH9_ND,7,0.2247
Patient09_SIGAH9_ND,8,0.2314
Patient09_SIGAH9_ND,9,0.2227
Patient09_SIGAH9_ND,10,0.2590
Patient09_SIGAH9_ND,11,0.2641
Patient09_SIGAH9_ND,12,0.2330
Patient09_SIGAH9_ND,13,0.2545
Patient09_SIGAH9_ND,14,0.2336
Patient09_SIGAH9_ND,15,0.2211
Patient09_SIGAH9_ND,16,0.2574
Patient09_SIGAH9_ND,17,0.2364
Patient09_SIGAH9_ND,18,0.2423
Patient09_SIGAH9_ND,19,0.2350
Patient09_SIGAH9_ND,20,0.2380
Patient16_SIGAB1_CIM,3,0.2751
Patient16_SIGAB1_CIM,4,0.2401
Patient16_SIGAB1_CIM,5,0.2518
Patient16_SIGAB1_CIM,6,0.2553
Patient16_SIGAB1_CIM,7,0.2659
Patient16_SIGAB1_CIM,8,0.2799
Patient16_SIGAB1_CIM,9,0.2763
Patient16_SIGAB1_CIM,10,0.2662
Patient16_SIGAB1_CIM,11,0.2652
Patient16_SIGAB1_CIM,12,0.2798
Patient16_SIGAB1_CIM,13,0.2990
Patient16_SIGAB1_CIM,14,0.2821
Patient16_SIGAB1_CIM,15,0.2835
Patient16_SIGAB1_CIM,16,0.2872
Patient16_SIGAB1_CIM,17,0.3094
Patient16_SIGAB1_CIM,18,0.3041
Patient16_SIGAB1_CIM,19,0.3082
Patient16_SIGAB1_CIM,20,0.3059
Patient17_SIGAH1_GIM,3,0.2933
Patient17_SIGAH1_GIM,4,0.2819
Patient17_SIGAH1_GIM,5,0.2215
Patient17_SIGAH1_GIM,6,0.2210
Patient17_SIGAH1_GIM,7,0.2231
Patient17_SIGAH1_GIM,8,0.2252
Patient17_SIGAH1_GIM,9,0.2412
Patient17_SIGAH1_GIM,10,0.2221
Patient17_SIGAH1_GIM,11,0.2245
Patient17_SIGAH1_GIM,12,0.2257
Patient17_SIGAH1_GIM,13,0.2200
Patient17_SIGAH1_GIM,14,0.2224
Patient17_SIGAH1_GIM,15,0.2247
Patient17_SIGAH1_GIM,16,0.2303
Patient17_SIGAH1_GIM,17,0.2222
Patient17_SIGAH1_GIM,18,0.2202
Patient17_SIGAH1_GIM,19,0.2252
Patient17_SIGAH1_GIM,20,0.2555
Patient02_SIGAD9_NSCJ,3,0.3837
Patient02_SIGAD9_NSCJ,4,0.3938
Patient02_SIGAD9_NSCJ,5,0.3851
Patient02_SIGAD9_NSCJ,6,0.4048
Patient02_SIGAD9_NSCJ,7,0.4134
Patient02_SIGAD9_NSCJ,8,0.3850
Patient02_SIGAD9_NSCJ,9,0.4209
Patient02_SIGAD9_NSCJ,10,0.4209
Patient02_SIGAD9_NSCJ,11,0.4204
Patient02_SIGAD9_NSCJ,12,0.4272
Patient02_SIGAD9_NSCJ,13,0.4333
Patient02_SIGAD9_NSCJ,14,0.4301
Patient02_SIGAD9_NSCJ,15,0.4341
Patient02_SIGAD9_NSCJ,16,0.4165
Patient02_SIGAD9_NSCJ,17,0.4743
Patient02_SIGAD9_NSCJ,18,0.4746
Patient02_SIGAD9_NSCJ,19,0.4770
Patient02_SIGAD9_NSCJ,20,0.4786
Patient09_SIGAF9_BE,3,0.2322
Patient09_SIGAF9_BE,4,0.2245
Patient09_SIGAF9_BE,5,0.2637
Patient09_SIGAF9_BE,6,0.2225
Patient09_SIGAF9_BE,7,0.2214
Patient09_SIGAF9_BE,8,0.2193
Patient09_SIGAF9_BE,9,0.2203
Patient09_SIGAF9_BE,10,0.2314
Patient09_SIGAF9_BE,11,0.2234
Patient09_SIGAF9_BE,12,0.2263
Patient09_SIGAF9_BE,13,0.2211
Patient09_SIGAF9_BE,14,0.2224
Patient09_SIGAF9_BE,15,0.2221
Patient09_SIGAF9_BE,16,0.2198
Patient09_SIGAF9_BE,17,0.2272
Patient09_SIGAF9_BE,18,0.2317
Patient09_SIGAF9_BE,19,0.2752
Patient09_SIGAF9_BE,20,0.2267
GSM3954948,3,0.2878
GSM3954948,4,0.2934
GSM3954948,5,0.2825
GSM3954948,6,0.3019
GSM3954948,7,0.2942
GSM3954948,8,0.2800
GSM3954948,9,0.2897
GSM3954948,10,0.2895
GSM3954948,11,0.3104
GSM3954948,12,0.2919
GSM3954948,13,0.3057
GSM3954948,14,0.2960
GSM3954948,15,0.3154
GSM3954948,16,0.3190
GSM3954948,17,0.3421
GSM3954948,18,0.3374
GSM3954948,19,0.3418
GSM3954948,20,0.3416
Patient01_SIGAG2_NG,3,0.2866
Patient01_SIGAG2_NG,4,0.2236
Patient01_SIGAG2_NG,5,0.2533
Patient01_SIGAG2_NG,6,0.2251
Patient01_SIGAG2_NG,7,0.2216
Patient01_SIGAG2_NG,8,0.2196
Patient01_SIGAG2_NG,9,0.2229
Patient01_SIGAG2_NG,10,0.2339
Patient01_SIGAG2_NG,11,0.2302
Patient01_SIGAG2_NG,12,0.2216
Patient01_SIGAG2_NG,13,0.2234
Patient01_SIGAG2_NG,14,0.2219
Patient01_SIGAG2_NG,15,0.2188
Patient01_SIGAG2_NG,16,0.2178
Patient01_SIGAG2_NG,17,0.2197
Patient01_SIGAG2_NG,18,0.2173
Patient01_SIGAG2_NG,19,0.2189
Patient01_SIGAG2_NG,20,0.2197
SRR8513794,3,0.8740
SRR8513794,4,0.8610
SRR8513794,5,0.8987
SRR8513794,6,0.8939
SRR8513794,7,0.8675
SRR8513794,8,0.9037
SRR8513794,9,0.9111
SRR8513794,10,0.9074
SRR8513794,11,0.9107
SRR8513794,12,0.9059
SRR8513794,13,0.8981
SRR8513794,14,0.9041
SRR8513794,15,0.9161
SRR8513794,16,0.9113
SRR8513794,17,0.9136
SRR8513794,18,0.9095
SRR8513794,19,0.9271
SRR8513794,20,0.9154
Patient16_SIGAC1_NG,3,0.2419
Patient16_SIGAC1_NG,4,0.2306
Patient16_SIGAC1_NG,5,0.2520
Patient16_SIGAC1_NG,6,0.2309
Patient16_SIGAC1_NG,7,0.2353
Patient16_SIGAC1_NG,8,0.2459
Patient16_SIGAC1_NG,9,0.2582
Patient16_SIGAC1_NG,10,0.2588
Patient16_SIGAC1_NG,11,0.2450
Patient16_SIGAC1_NG,12,0.2336
Patient16_SIGAC1_NG,13,0.2346
Patient16_SIGAC1_NG,14,0.2543
Patient16_SIGAC1_NG,15,0.2543
Patient16_SIGAC1_NG,16,0.2368
Patient16_SIGAC1_NG,17,0.2340
Patient16_SIGAC1_NG,18,0.2634
Patient16_SIGAC1_NG,19,0.2634
Patient16_SIGAC1_NG,20,0.2419
Patient10_SIGAC5_NG,3,0.2935
Patient10_SIGAC5_NG,4,0.2918
Patient10_SIGAC5_NG,5,0.2903
Patient10_SIGAC5_NG,6,0.2248
Patient10_SIGAC5_NG,7,0.2238
Patient10_SIGAC5_NG,8,0.2478
Patient10_SIGAC5_NG,9,0.2643
Patient10_SIGAC5_NG,10,0.2251
Patient10_SIGAC5_NG,11,0.2239
Patient10_SIGAC5_NG,12,0.2241
Patient10_SIGAC5_NG,13,0.2633
Patient10_SIGAC5_NG,14,0.2321
Patient10_SIGAC5_NG,15,0.2196
Patient10_SIGAC5_NG,16,0.2555
Patient10_SIGAC5_NG,17,0.2225
Patient10_SIGAC5_NG,18,0.2610
Patient10_SIGAC5_NG,19,0.2401
Patient10_SIGAC5_NG,20,0.2304
Patient14_SIGAE8_GIM,3,0.3513
Patient14_SIGAE8_GIM,4,0.3654
Patient14_SIGAE8_GIM,5,0.3623
Patient14_SIGAE8_GIM,6,0.3782
Patient14_SIGAE8_GIM,7,0.3749
Patient14_SIGAE8_GIM,8,0.3814
Patient14_SIGAE8_GIM,9,0.3870
Patient14_SIGAE8_GIM,10,0.3862
Patient14_SIGAE8_GIM,11,0.3904
Patient14_SIGAE8_GIM,12,0.3948
Patient14_SIGAE8_GIM,13,0.3941
Patient14_SIGAE8_GIM,14,0.4029
Patient14_SIGAE8_GIM,15,0.3991
Patient14_SIGAE8_GIM,16,0.4040
Patient14_SIGAE8_GIM,17,0.4429
Patient14_SIGAE8_GIM,18,0.4278
Patient14_SIGAE8_GIM,19,0.4474
Patient14_SIGAE8_GIM,20,0.4348
